15,1008,1000,1.01,4,6,0
15,1008,1000,1.01,4,6,0
16,1008,1001,1.01,4,6,0
16,1008,1001,1.00011,2,6,0
16,1008,1001,1.00011,2,6,0
16,1008,1001,1.01,4,6,0
16,1008,1000,1.01001,4,3,0
16,1008,1000,1.01001,4,3,0
16,1008,1000,1.01001,4,3,0
16,1008,1000,1.01001,4,3,0
16,1008,1000,1.01001,4,3,0
16,1008,1001,1.01,4,3,0
16,1008,1001,1,3,7,0
16,1008,1000,1,7,3,0
16,1008,1001,1.01,4,3,0
16,1008,1001,1.01,4,3,0
16,1008,1001,1.01,4,4,0
16,1008,1000,1,7,4,0
16,1008,1001,1.01,4,4,0
16,1008,1000,1,7,3,0
16,1008,1000,1,7,4,0
16,1008,1000,1,7,4,0
16,1008,1000,1,7,4,0
16,1008,1001,1.01,4,4,0
16,1008,1000,1,7,4,0
16,1008,1000,1,7,3,0
16,1008,1003,1,3,7,0
17,1008,1000,194753,11,2,0
20,1008,1003,124855,11,2,0
20,1008,1003,124855,11,2,0
20,1008,1003,124855,11,2,0
20,1008,1003,131339,11,2,0
20,1008,1003,124855,11,2,0
20,1008,1003,1,4,7,0
21,1008,1003,124855,11,2,0
12,1008,1003,124855,11,2,0
12,1008,1003,1,5,4,0
12,1008,1003,1,5,4,0
12,1008,1003,1.00312,3,2,0
12,1008,1003,1.00312,3,2,0
12,1008,1003,1.00312,3,2,0
12,1008,1003,1.00312,3,2,0
12,1008,1003,1.00312,3,2,0
12,1008,1003,1.00312,3,2,0
12,1008,1003,1.00312,3,2,0
12,1008,1003,1.00312,3,2,0
12,1008,1003,1.00312,3,2,0
13,1008,1003,1.00312,3,2,0
13,1008,1003,1.00312,3,2,0
13,1008,1003,1.00312,3,2,0
13,1008,1003,1,5,4,0
13,1008,1000,1.01,4,4,0
13,1008,1000,131360,11,2,0
13,1008,1003,1.01,4,4,0
13,1008,1003,1.01,4,4,0
13,1008,1003,1.01,4,4,0
13,1008,1000,1.01003,4,2,0
